date,provider,resource_id,resource_name,instance_type,project,environment,cost_center,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,network_in_gb,network_out_gb,status
2026-03-29,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,64.1,84.1,52.3,80.0,0.500,0.200,running
2026-03-30,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,66.4,86.4,58.1,80.0,0.500,0.200,running
2026-03-31,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,66.7,86.7,58.0,80.0,0.500,0.200,running
2026-03-01,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,55.0,75.0,54.9,80.0,0.500,0.200,running
2026-03-02,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,55.3,75.3,63.9,80.0,0.500,0.200,running
2026-03-03,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,68.2,88.2,62.5,80.0,0.500,0.200,running
2026-03-04,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,59.6,79.6,50.9,80.0,0.500,0.200,running
2026-03-05,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,68.2,88.2,64.2,80.0,0.500,0.200,running
2026-03-06,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,56.3,76.3,57.3,80.0,0.500,0.200,running
2026-03-07,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,56.0,76.0,61.4,80.0,0.500,0.200,running
2026-03-08,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,66.5,86.5,51.9,80.0,0.500,0.200,running
2026-03-09,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,62.1,82.1,58.2,80.0,0.500,0.200,running
2026-03-10,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,59.0,79.0,63.1,80.0,0.500,0.200,running
2026-03-11,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,61.3,81.3,53.2,80.0,0.500,0.200,running
2026-03-12,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,63.1,83.1,60.9,80.0,0.500,0.200,running
2026-03-13,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,58.0,78.0,54.7,80.0,0.500,0.200,running
2026-03-14,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,69.9,89.9,59.7,80.0,0.500,0.200,running
2026-03-15,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,61.6,81.6,57.8,80.0,0.500,0.200,running
2026-03-16,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,56.8,76.8,53.4,80.0,0.500,0.200,running
2026-03-17,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,60.1,80.1,58.8,80.0,0.500,0.200,running
2026-03-18,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,58.5,78.5,53.3,80.0,0.500,0.200,running
2026-03-19,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,56.1,76.1,59.5,80.0,0.500,0.200,running
2026-03-20,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,58.4,78.4,63.6,80.0,0.500,0.200,running
2026-03-21,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,67.9,87.9,51.1,80.0,0.500,0.200,running
2026-03-22,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,58.6,78.6,60.0,80.0,0.500,0.200,running
2026-03-23,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,58.2,78.2,52.0,80.0,0.500,0.200,running
2026-03-24,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,69.0,89.0,58.6,80.0,0.500,0.200,running
2026-03-25,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,62.1,82.1,61.8,80.0,0.500,0.200,running
2026-03-26,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,67.1,87.1,52.9,80.0,0.500,0.200,running
2026-03-27,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,56.5,76.5,56.5,80.0,0.500,0.200,running
2026-03-28,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,61.4,81.4,57.0,80.0,0.500,0.200,running
2026-03-29,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,65.9,85.9,60.1,80.0,0.500,0.200,running
2026-03-30,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,69.8,89.8,51.5,80.0,0.500,0.200,running
2026-03-31,AWS,i-web-003,i-web-003,m5.2xlarge,web,prod,CC-200,61.0,81.0,55.1,80.0,0.500,0.200,running
2026-03-01,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,57.9,82.9,58.2,85.0,0.500,0.200,running
2026-03-02,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,47.9,72.9,60.8,85.0,0.500,0.200,running
2026-03-03,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,51.3,76.3,58.6,85.0,0.500,0.200,running
2026-03-04,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,48.7,73.7,67.0,85.0,0.500,0.200,running
2026-03-05,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,51.6,76.6,66.2,85.0,0.500,0.200,running
2026-03-06,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,53.3,78.3,55.7,85.0,0.500,0.200,running
2026-03-07,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,60.0,85.0,65.9,85.0,0.500,0.200,running
2026-03-08,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,59.5,84.5,67.0,85.0,0.500,0.200,running
2026-03-09,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,57.7,82.7,57.2,85.0,0.500,0.200,running
2026-03-10,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,52.3,77.3,57.8,85.0,0.500,0.200,running
2026-03-11,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,51.0,76.0,55.8,85.0,0.500,0.200,running
2026-03-12,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,50.7,75.7,67.8,85.0,0.500,0.200,running
2026-03-13,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,49.0,74.0,65.2,85.0,0.500,0.200,running
2026-03-14,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,51.8,76.8,60.5,85.0,0.500,0.200,running
2026-03-15,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,59.4,84.4,67.9,85.0,0.500,0.200,running
2026-03-16,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,53.3,78.3,64.3,85.0,0.500,0.200,running
2026-03-17,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,47.3,72.3,58.9,85.0,0.500,0.200,running
2026-03-18,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,59.5,84.5,62.5,85.0,0.500,0.200,running
2026-03-19,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,53.1,78.1,64.7,85.0,0.500,0.200,running
2026-03-20,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,45.9,70.9,62.6,85.0,0.500,0.200,running
2026-03-21,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,52.5,77.5,66.1,85.0,0.500,0.200,running
2026-03-22,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,47.4,72.4,67.5,85.0,0.500,0.200,running
2026-03-23,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,46.2,71.2,57.4,85.0,0.500,0.200,running
2026-03-24,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,53.9,78.9,63.8,85.0,0.500,0.200,running
2026-03-25,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,48.5,73.5,56.6,85.0,0.500,0.200,running
2026-03-26,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,58.4,83.4,58.2,85.0,0.500,0.200,running
2026-03-27,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,53.9,78.9,63.1,85.0,0.500,0.200,running
2026-03-28,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,51.3,76.3,62.6,85.0,0.500,0.200,running
2026-03-29,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,52.8,77.8,67.2,85.0,0.500,0.200,running
2026-03-30,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,48.1,73.1,64.3,85.0,0.500,0.200,running
2026-03-31,AWS,i-api-001,i-api-001,m5.xlarge,api,prod,CC-200,48.6,73.6,60.1,85.0,0.500,0.200,running
2026-03-01,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,55.1,80.1,58.9,85.0,0.500,0.200,running
2026-03-02,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,49.7,74.7,64.8,85.0,0.500,0.200,running
2026-03-03,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,46.1,71.1,61.0,85.0,0.500,0.200,running
2026-03-04,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,60.0,85.0,67.9,85.0,0.500,0.200,running
2026-03-05,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,46.1,71.1,57.8,85.0,0.500,0.200,running
2026-03-06,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,49.0,74.0,67.1,85.0,0.500,0.200,running
2026-03-07,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,58.2,83.2,66.4,85.0,0.500,0.200,running
2026-03-08,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,50.5,75.5,57.1,85.0,0.500,0.200,running
2026-03-09,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,57.5,82.5,64.1,85.0,0.500,0.200,running
2026-03-10,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,54.2,79.2,67.8,85.0,0.500,0.200,running
2026-03-11,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,54.8,79.8,55.1,85.0,0.500,0.200,running
2026-03-12,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,57.3,82.3,58.9,85.0,0.500,0.200,running
2026-03-13,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,55.0,80.0,67.2,85.0,0.500,0.200,running
2026-03-14,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,47.0,72.0,56.5,85.0,0.500,0.200,running
2026-03-15,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,46.6,71.6,62.2,85.0,0.500,0.200,running
2026-03-16,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,49.1,74.1,62.9,85.0,0.500,0.200,running
2026-03-17,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,55.8,80.8,57.6,85.0,0.500,0.200,running
2026-03-18,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,54.5,79.5,58.4,85.0,0.500,0.200,running
2026-03-19,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,52.3,77.3,66.8,85.0,0.500,0.200,running
2026-03-20,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,57.7,82.7,56.2,85.0,0.500,0.200,running
2026-03-21,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,51.4,76.4,58.6,85.0,0.500,0.200,running
2026-03-22,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,45.1,70.1,65.0,85.0,0.500,0.200,running
2026-03-23,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,54.6,79.6,58.4,85.0,0.500,0.200,running
2026-03-24,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,56.1,81.1,62.2,85.0,0.500,0.200,running
2026-03-25,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,51.4,76.4,55.1,85.0,0.500,0.200,running
2026-03-26,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,46.1,71.1,66.5,85.0,0.500,0.200,running
2026-03-27,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,58.6,83.6,62.1,85.0,0.500,0.200,running
2026-03-28,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,57.5,82.5,62.6,85.0,0.500,0.200,running
2026-03-29,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,47.2,72.2,56.7,85.0,0.500,0.200,running
2026-03-30,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,49.6,74.6,66.7,85.0,0.500,0.200,running
2026-03-31,AWS,i-api-002,i-api-002,m5.xlarge,api,prod,CC-200,56.9,81.9,66.2,85.0,0.500,0.200,running
2026-03-01,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,48.5,58.5,50.0,75.0,0.500,0.200,running
2026-03-02,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,38.2,48.2,50.0,75.0,0.500,0.200,running
2026-03-03,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,38.7,48.7,50.0,75.0,0.500,0.200,running
2026-03-04,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,36.5,46.5,50.0,75.0,0.500,0.200,running
2026-03-05,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,46.7,56.7,50.0,75.0,0.500,0.200,running
2026-03-06,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,48.3,58.3,50.0,75.0,0.500,0.200,running
2026-03-07,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,41.1,51.1,50.0,75.0,0.500,0.200,running
2026-03-08,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,44.3,54.3,50.0,75.0,0.500,0.200,running
2026-03-09,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,37.3,47.3,50.0,75.0,0.500,0.200,running
2026-03-10,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,48.9,58.9,50.0,75.0,0.500,0.200,running
2026-03-11,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,48.0,58.0,50.0,75.0,0.500,0.200,running
2026-03-12,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,49.6,59.6,50.0,75.0,0.500,0.200,running
2026-03-13,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,47.2,57.2,50.0,75.0,0.500,0.200,running
2026-03-14,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,48.2,58.2,50.0,75.0,0.500,0.200,running
2026-03-15,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,83.2,93.2,50.0,75.0,0.500,0.200,running
2026-03-16,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,46.0,56.0,50.0,75.0,0.500,0.200,running
2026-03-17,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,40.0,50.0,50.0,75.0,0.500,0.200,running
2026-03-18,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,49.0,59.0,50.0,75.0,0.500,0.200,running
2026-03-19,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,47.0,57.0,50.0,75.0,0.500,0.200,running
2026-03-20,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,48.0,58.0,50.0,75.0,0.500,0.200,running
2026-03-21,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,47.2,57.2,50.0,75.0,0.500,0.200,running
2026-03-22,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,39.0,49.0,50.0,75.0,0.500,0.200,running
2026-03-23,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,46.8,56.8,50.0,75.0,0.500,0.200,running
2026-03-24,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,36.6,46.6,50.0,75.0,0.500,0.200,running
2026-03-25,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,48.1,58.1,50.0,75.0,0.500,0.200,running
2026-03-26,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,47.9,57.9,50.0,75.0,0.500,0.200,running
2026-03-27,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,38.3,48.3,50.0,75.0,0.500,0.200,running
2026-03-28,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,47.2,57.2,50.0,75.0,0.500,0.200,running
2026-03-29,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,41.9,51.9,50.0,75.0,0.500,0.200,running
2026-03-30,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,39.6,49.6,50.0,75.0,0.500,0.200,running
2026-03-31,AWS,i-spike-001,i-spike-001,c5.2xlarge,api,prod,CC-200,46.9,56.9,50.0,75.0,0.500,0.200,running
2026-03-01,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-02,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-03,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-04,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-05,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-06,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-07,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-08,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-09,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-10,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-11,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-12,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-13,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-14,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-15,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-16,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
2026-03-17,AWS,i-idle-001,i-idle-001,m5.large,api,stg,CC-200,0.0,0.0,0.0,0.0,0.000,0.000,stopped
