date,provider,model,project,cost_center,tokens_input,tokens_output,request_count,cost_usd,api_key_hash,tags
2026-03-15,anthropic,claude-3-5-sonnet,api,CC-200,501855,133033,3406,3.5011,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-16,anthropic,claude-3-5-sonnet,api,CC-200,882482,210402,6079,5.8035,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-17,anthropic,claude-3-5-sonnet,api,CC-200,776813,233967,4960,5.8399,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-18,anthropic,claude-3-5-sonnet,api,,706929,199562,5566,5.1142,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api""}"
2026-03-18,openai,gpt-4o,api,CC-200,3743889,1199975,22724,21.3595,sk-fb7bce4f54bbd838,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-19,anthropic,claude-3-5-sonnet,api,CC-200,656924,203403,5091,5.0218,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-19,openai,gpt-4o,,CC-200,2670589,1016632,19176,16.8428,sk-fb7bce4f54bbd838,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""CostCenter"": ""CC-200""}"
2026-03-20,anthropic,claude-3-5-sonnet,api,CC-200,821178,178225,5741,5.1369,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-20,openai,gpt-4o,api,CC-200,3807911,930685,22749,18.8266,sk-fb7bce4f54bbd838,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-21,anthropic,claude-3-5-sonnet,api,CC-200,485796,108623,2928,3.0867,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-21,openai,gpt-4o,api,CC-200,1970986,718252,12299,12.11,sk-fb7bce4f54bbd838,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-22,anthropic,claude-3-5-sonnet,api,CC-200,406201,113250,3411,2.9174,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-22,openai,gpt-4o,api,CC-200,2007179,654250,11148,11.5604,sk-fb7bce4f54bbd838,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-23,anthropic,claude-3-5-sonnet,api,CC-200,909479,244307,4678,6.393,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-24,anthropic,claude-3-5-sonnet,api,CC-200,945648,246067,5733,6.5279,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-25,anthropic,claude-3-5-sonnet,api,CC-200,807863,228944,5623,5.8577,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-26,anthropic,claude-3-5-sonnet,api,CC-200,736471,208663,6038,5.3394,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-27,anthropic,claude-3-5-sonnet,api,CC-200,913660,176188,5844,5.3838,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-28,anthropic,claude-3-5-sonnet,api,CC-200,359916,107919,3053,2.6985,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-29,anthropic,claude-3-5-sonnet,api,CC-200,381347,102510,2840,2.6817,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-30,anthropic,claude-3-5-sonnet,,CC-200,648144,179063,4867,4.6304,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""CostCenter"": ""CC-200""}"
2026-03-31,anthropic,claude-3-5-sonnet,api,CC-200,681671,246889,6027,5.7483,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-01,openai,gpt-4o-mini,,CC-300,1827099,239441,6429,0.4177,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""CostCenter"": ""CC-300""}"
2026-03-02,openai,gpt-4o-mini,ml,CC-300,1987938,404621,8184,0.541,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-03,openai,gpt-4o-mini,ml,CC-300,2693998,366961,8090,0.6243,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-04,openai,gpt-4o-mini,ml,CC-300,1981162,393928,9381,0.5335,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-05,openai,gpt-4o-mini,ml,CC-300,2738462,347677,8538,0.6194,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-06,openai,gpt-4o-mini,ml,CC-300,2230468,344624,8778,0.5413,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-07,openai,gpt-4o-mini,ml,CC-300,1963975,291972,7168,0.4698,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-08,openai,gpt-4o-mini,ml,CC-300,1489045,283090,7103,0.3932,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-09,openai,gpt-4o-mini,ml,,2682599,392109,7938,0.6377,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml""}"
2026-03-10,openai,gpt-4o-mini,ml,CC-300,2173055,415112,10259,0.575,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-11,openai,gpt-4o-mini,ml,CC-300,2401141,322425,9567,0.5536,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-12,openai,gpt-4o-mini,ml,CC-300,2411483,449747,8151,0.6316,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-13,openai,gpt-4o-mini,ml,CC-300,2435173,455463,8342,0.6386,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-14,openai,gpt-4o-mini,ml,CC-300,1824897,333420,6515,0.4738,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-15,openai,gpt-4o-mini,,CC-300,1545353,310743,5812,0.4182,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""CostCenter"": ""CC-300""}"
2026-03-16,openai,gpt-4o-mini,ml,,2137911,417809,9852,0.5714,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml""}"
2026-03-17,openai,gpt-4o-mini,ml,CC-300,2553773,418573,8182,0.6342,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-18,openai,gpt-4o-mini,ml,CC-300,2363801,470985,9902,0.6372,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-19,openai,gpt-4o-mini,ml,CC-300,2477937,444357,9470,0.6383,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-20,openai,gpt-4o-mini,ml,CC-300,2016076,334132,9131,0.5029,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-21,openai,gpt-4o-mini,ml,CC-300,1643794,331596,5990,0.4455,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-22,openai,gpt-4o-mini,ml,CC-300,1555319,320865,5599,0.4258,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-23,openai,gpt-4o-mini,ml,CC-300,2431917,396701,10078,0.6028,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-24,openai,gpt-4o-mini,ml,CC-300,2780695,323373,9440,0.6111,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-25,openai,gpt-4o-mini,ml,CC-300,2570958,434174,10061,0.6461,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-26,openai,gpt-4o-mini,ml,CC-300,2361272,428188,9069,0.6111,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-27,openai,gpt-4o-mini,ml,CC-300,2307272,405992,10167,0.5897,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-28,openai,gpt-4o-mini,ml,CC-300,1615952,253127,6101,0.3943,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-29,openai,gpt-4o-mini,ml,CC-300,1694851,242065,6119,0.3995,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-30,openai,gpt-4o-mini,ml,CC-300,2261557,473152,8873,0.6231,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-31,openai,gpt-4o-mini,ml,CC-300,2266399,380915,7799,0.5685,sk-d32e4b7008ec700a,"{""Environment"": ""prod"", ""Owner"": ""ml-platform@hbt.co.kr"", ""Project"": ""ml"", ""CostCenter"": ""CC-300""}"
2026-03-01,openai,gpt-4o,data,CC-300,200098,26080,1435,0.761,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-02,openai,gpt-4o,data,CC-300,519187,77199,4087,2.07,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-03,openai,gpt-4o,data,,584883,71322,4720,2.1754,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data""}"
2026-03-04,openai,gpt-4o,data,CC-300,653050,77780,4308,2.4104,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-05,openai,gpt-4o,data,CC-300,637440,65036,4904,2.244,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-06,openai,gpt-4o,data,CC-300,570678,89043,5163,2.3171,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-07,openai,gpt-4o,data,CC-300,156970,19293,1478,0.5854,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-08,openai,gpt-4o,data,CC-300,157860,20230,1528,0.5969,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-09,openai,gpt-4o,data,CC-300,638505,65122,4910,2.2475,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-10,openai,gpt-4o,data,CC-300,549351,81357,4877,2.1869,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-11,openai,gpt-4o,,CC-300,640040,73508,5147,2.3352,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""CostCenter"": ""CC-300""}"
2026-03-12,openai,gpt-4o,data,CC-300,603843,74144,3938,2.251,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-13,openai,gpt-4o,data,CC-300,519119,77331,4005,2.0711,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-14,openai,gpt-4o,data,CC-300,182318,24904,1273,0.7048,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-15,openai,gpt-4o,data,CC-300,215916,28427,1512,0.8241,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-16,openai,gpt-4o,data,CC-300,548042,93091,4299,2.301,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-17,openai,gpt-4o,data,CC-300,610964,72270,3837,2.2501,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-18,openai,gpt-4o,data,,505109,66160,3952,1.9244,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data""}"
2026-03-19,openai,gpt-4o,data,CC-300,568628,86833,4685,2.2899,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-20,openai,gpt-4o,data,CC-300,614322,72958,4170,2.2654,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-21,openai,gpt-4o,data,CC-300,194415,26317,1165,0.7492,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-22,openai,gpt-4o,data,CC-300,212601,25651,1415,0.788,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-23,openai,gpt-4o,data,CC-300,690751,80636,4964,2.5332,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-24,openai,gpt-4o,data,CC-300,511937,95942,3847,2.2393,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-25,openai,gpt-4o,,CC-300,629416,82729,3891,2.4008,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""CostCenter"": ""CC-300""}"
2026-03-26,openai,gpt-4o,data,CC-300,485360,73314,4246,1.9465,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-27,openai,gpt-4o,data,CC-300,504537,70112,4940,1.9625,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-28,openai,gpt-4o,data,CC-300,181101,25959,1255,0.7123,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-29,openai,gpt-4o,data,CC-300,190356,25245,1480,0.7283,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-30,openai,gpt-4o,data,CC-300,629478,68081,4864,2.2545,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-31,openai,gpt-4o,data,CC-300,687591,89812,3874,2.6171,sk-9e1c9e1ba8e39b43,"{""Environment"": ""prod"", ""Owner"": ""data-platform@hbt.co.kr"", ""Project"": ""data"", ""CostCenter"": ""CC-300""}"
2026-03-01,anthropic,claude-3-haiku,web,CC-200,109347,36145,478,0.0725,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-02,anthropic,claude-3-haiku,web,CC-200,278187,95625,1021,0.1891,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-03,anthropic,claude-3-haiku,web,CC-200,301784,83725,1312,0.1801,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-04,anthropic,claude-3-haiku,web,CC-200,269894,89612,1284,0.1795,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-05,anthropic,claude-3-haiku,web,CC-200,346503,79244,1187,0.1857,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-06,anthropic,claude-3-haiku,web,CC-200,331964,64282,1056,0.1633,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-07,anthropic,claude-3-haiku,,CC-200,130682,36355,416,0.0781,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""CostCenter"": ""CC-200""}"
2026-03-08,anthropic,claude-3-haiku,web,CC-200,122812,37360,421,0.0774,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-09,anthropic,claude-3-haiku,web,CC-200,270889,94703,1062,0.1861,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-10,anthropic,claude-3-haiku,web,CC-200,269139,69924,1221,0.1547,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-11,anthropic,claude-3-haiku,,CC-200,355070,69340,1343,0.1754,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""CostCenter"": ""CC-200""}"
2026-03-12,anthropic,claude-3-haiku,web,CC-200,294945,65277,1192,0.1553,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-13,anthropic,claude-3-haiku,web,CC-200,276296,78324,1305,0.167,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
2026-03-14,anthropic,claude-3-haiku,web,CC-200,119518,26611,458,0.0631,sk-5ef01757b88e1394,"{""Environment"": ""prod"", ""Owner"": ""web-team@hbt.co.kr"", ""Project"": ""web"", ""CostCenter"": ""CC-200""}"
